lower_gross,payor_3c,box2_7d,box1_7d,variantA_7d,variantB_7d,reduction_current,reduction_A,reduction_B,implied_share_1.5,implied_share_2.0
68000.0,0.749916996166732,1031.4575264346893,789.2804005987773,687.4861297924556,515.6145973443416,0.2347911762038476,0.33348091203638486,0.5001106840272886,0.36735492777907286,0.46299544487598765
66000.0,0.7556187463884918,1034.4174190098092,802.5946178459805,699.8674534042339,524.9005900531754,0.2241095295801766,0.3234187277374173,0.492564045803063,0.3647671566595557,0.4624800540917897
64000.0,0.7614078636879041,1037.4226655822802,815.7788007114739,712.3394850107143,534.2546137580356,0.21364856603205495,0.31335654343844954,0.48501740757883727,0.36225175339093546,0.4620407809651776
62000.0,0.7672863716376888,1040.2383229500679,828.6186639772254,724.7399074385977,543.5549305789482,0.20343382309997848,0.3032943591394819,0.4774707693546114,0.3598234572090736,0.46168918581622737
60000.0,0.7732563567893933,1042.8359828892776,841.0830025124499,737.0429196247093,552.782189718532,0.19346568749752158,0.29323217484051445,0.4699241311303858,0.3574845007151903,0.461427464733741
58000.0,0.7793199711426869,1045.4743827666828,853.4043032277939,749.4274116872118,562.0705587654088,0.18371572054267438,0.2831699905415467,0.46237749290616004,0.3552222104020789,0.4612466505872309
56000.0,0.7854794347317504,1048.1544885635562,865.5825661232572,761.8953155886509,571.4214866914881,0.17418417268861275,0.27310780624257913,0.4548308546819344,0.35303853524569623,0.46114876011720973
54000.0,0.7917370383352983,1050.877297043532,877.6177911988394,774.4486248562946,580.8364686422208,0.16487129975319603,0.2630456219436117,0.4472842164577089,0.35093548916049044,0.4611358764541924
52000.0,0.7980951463171758,1053.6438369886064,889.5099784545415,787.089397054136,590.3170477906021,0.15577736306337808,0.2529834376446438,0.4397375782334827,0.3489151536837057,0.4612101518420732
50000.0,0.804556199604935,1056.4551704951764,901.2591278903624,799.8197563749678,599.8648172812258,0.14690262960431277,0.2429212533456765,0.4321909400092574,0.34697968079258973,0.46137381049567605
