children,lower_gross,payor_3c,rule1_current,rule2_post_gross
1,105000.0,0.6580543489776459,0.658054348977646,0.6090613249714195
1,107500.0,0.6526524554421634,0.6526524554421633,0.6054987380612986
1,110000.0,0.6473385268752768,0.647338526875277,0.6019843379432029
1,112500.0,0.6421104319847002,0.6421104319847006,0.5985171902958203
1,115000.0,0.6369661077782905,0.6369661077782905,0.5950963834191039
1,117500.0,0.6319035568498289,0.6319035568498294,0.5917210276203263
1,120000.0,0.6269208447932174,0.626920844793217,0.5883902546159663
1,122500.0,0.622016097738055,0.6220160977380556,0.5851032169492731
1,125000.0,0.6171875,0.6171875,0.5818590874233129
1,127500.0,0.6124332918397278,0.6124332918397283,0.5786570585492801
1,130000.0,0.6077517673246741,0.6077517673246746,0.5754963420098317
1,132500.0,0.6031412722881038,0.6031412722881043,0.57237616813718
1,135000.0,0.5986002023803788,0.5986002023803791,0.5692957854056672
1,137500.0,0.5941270012075994,0.5941270012075995,0.5662544599385305
1,140000.0,0.5897201585530845,0.5897201585530842,0.5632514750285574
1,142500.0,0.5853782086774182,0.5853782086774185,0.5602861306723217
1,145000.0,0.5810997286930488,0.5810997286930489,0.5573577431176884
1,147500.0,0.5768833370096474,0.5768833370096479,0.5544656444242696
1,150000.0,0.572727691846661,0.5727276918466612,0.551609182036512
2,0.0,1.0,1.0,0.7577867860696518
2,2500.0,0.9960711207328563,0.9960711207328569,0.7488413946160092
2,5000.0,0.9837464364903389,0.9837464364903389,0.7408815931586765
2,7500.0,0.9717230185579914,0.9717230185579916,0.7330854299303854
2,10000.0,0.9599899540203237,0.959989954020324,0.7254480635969479
2,12500.0,0.9485368507454139,0.9485368507454143,0.7179648335916865
2,15000.0,0.9373538066852788,0.9373538066852785,0.7106312523342025
2,17500.0,0.9264313813225944,0.9264313813225948,0.7035638215967333
2,20000.0,0.915760569090708,0.9157605690907081,0.6987778068673344
2,22500.0,0.9053327746096526,0.9053327746096529,0.6976279634863816
2,25000.0,0.8951397895950426,0.895139789595043,0.6924440879466964
2,27500.0,0.8851737713094749,0.8851737713094746,0.6874160296065132
2,30000.0,0.8754272224375462,0.8754272224375467,0.6825387294658479
2,32500.0,0.865892972275951,0.8658929722759513,0.677807345184245
2,35000.0,0.8565641591394885,0.8565641591394882,0.6732172396051667
2,37500.0,0.8474342138922524,0.847434213892252,0.6687639700021183
2,40000.0,0.8384968445209409,0.8384968445209404,0.6644432779941032
2,42500.0,0.829746021674153,0.8297460216741525,0.6602510800823008
2,45000.0,0.8211759650978319,0.821175965097832,0.656183458763778
2,47500.0,0.8127811309027267,0.8127811309027265,0.6522366541815948
2,50000.0,0.804556199604935,0.8045561996049344,0.6484070562739083
2,52500.0,0.7964960648853127,0.7964960648853121,0.6446911973876267
2,55000.0,0.7885958230178379,0.788595823017838,0.6410857453248576
2,57500.0,0.7808507629209422,0.7808507629209419,0.6375874967928491
2,60000.0,0.7732563567893933,0.7732563567893936,0.6341933712303723
2,62500.0,0.7658082512675882,0.765808251267589,0.6309004049855431
2,65000.0,0.7585022591280987,0.7585022591280983,0.6277792164599784
2,67500.0,0.7513343514220482,0.7513343514220481,0.6247653023806304
2,70000.0,0.7443006500703994,0.7443006500703996,0.6218394841745605
2,72500.0,0.7373974208675264,0.737397420867527,0.6189993460499966
2,75000.0,0.7306210668705523,0.7306210668705524,0.6162425597438547
2,77500.0,0.7239681221498608,0.7239681221498608,0.6135668805931609
2,80000.0,0.7174352458779705,0.7174352458779708,0.6109701438161862
2,82500.0,0.7110192167355875,0.7110192167355877,0.6084502609903454
2,85000.0,0.7047169276151577,0.7047169276151578,0.6060052167148221
2,87500.0,0.698525380603624,0.698525380603624,0.6036330654467137
2,90000.0,0.6924416822273627,0.6924416822273631,0.6013319285002623
2,92500.0,0.6864630389434566,0.6864630389434564,0.5990999911994457
2,95000.0,0.6805867528625431,0.680586752862543,0.6017166545743684
2,97500.0,0.6748102176894768,0.674810217689477,0.598720329588152
2,100000.0,0.6691309148689775,0.6691309148689777,0.5957592441451122
2,102500.0,0.6635464099242859,0.6635464099242858,0.5928328882996455
2,105000.0,0.6580543489776459,0.658054348977646,0.5899407569207716
2,107500.0,0.6526524554421634,0.6526524554421633,0.5870823499794973
2,110000.0,0.6473385268752768,0.647338526875277,0.5842571727989406
2,112500.0,0.6421104319847002,0.6421104319847001,0.5814647362706078
2,115000.0,0.6369661077782905,0.6369661077782905,0.5787045570399102
2,117500.0,0.6319035568498289,0.6319035568498288,0.5759761576637471
2,120000.0,0.6269208447932174,0.6269208447932174,0.5732790667427266
2,122500.0,0.622016097738055,0.6220160977380551,0.5706128190303734
2,125000.0,0.6171875,0.6171875,0.5679769555214723
2,127500.0,0.6124332918397278,0.6124332918397277,0.5653710235215036
2,130000.0,0.6077517673246741,0.607751767324674,0.5627945766989607
2,132500.0,0.6031412722881038,0.6031412722881038,0.5602471751221868
2,135000.0,0.5986002023803788,0.5986002023803786,0.5577283852822197
2,137500.0,0.5941270012075994,0.5941270012075995,0.5552377801030122
2,140000.0,0.5897201585530845,0.5897201585530842,0.5527749389402736
2,142500.0,0.5853782086774182,0.5853782086774181,0.5503394475700712
2,145000.0,0.5810997286930488,0.5810997286930489,0.5479308981682319
2,147500.0,0.5768833370096474,0.5768833370096473,0.5455488892814955
2,150000.0,0.572727691846661,0.5727276918466612,0.5431930257912877
3,0.0,1.0,1.0,0.708568023880597
3,2500.0,0.9960711207328563,0.9960711207328563,0.7003000912296286
3,5000.0,0.9837464364903389,0.9837464364903387,0.6931549991690525
3,7500.0,0.9717230185579914,0.971723018557991,0.6861485590819302
