payor_income,other_parent_income,share_of_net,over_federal_ceiling_50pct
130000.0,40000.0,0.5584443513687735,True
135000.0,40000.0,0.5543512747408241,True
140000.0,40000.0,0.5504060094426485,True
145000.0,40000.0,0.5466038810825004,True
150000.0,40000.0,0.5414185225247305,True
155000.0,40000.0,0.536084033970827,True
160000.0,40000.0,0.5309559618379618,True
165000.0,40000.0,0.5260241519329094,True
170000.0,40000.0,0.5212788914782902,True
175000.0,40000.0,0.5167109255993074,True
180000.0,40000.0,0.5123114613485618,True
185000.0,40000.0,0.5079497972773156,True
190000.0,40000.0,0.5026850704082438,True
195000.0,40000.0,0.4976435187590189,False
200000.0,40000.0,0.4928113043615238,False
205000.0,40000.0,0.488329779334101,False
210000.0,40000.0,0.4840231645737026,False
215000.0,40000.0,0.47988149753694315,False
220000.0,40000.0,0.47642533825774686,False
225000.0,40000.0,0.4736880035289396,False
230000.0,40000.0,0.4706707104947237,False
235000.0,40000.0,0.46773974786930783,False
240000.0,40000.0,0.4648917787884367,False
245000.0,40000.0,0.46212360773561617,False
250000.0,40000.0,0.4594321765665666,False
255000.0,40000.0,0.4568145600821112,False
260000.0,40000.0,0.45426796130445934,False
265000.0,40000.0,0.45178970657779555,False
270000.0,40000.0,0.44937724058701056,False
275000.0,40000.0,0.44722100870406356,False
280000.0,40000.0,0.4452822039027343,False
285000.0,40000.0,0.4433882171795333,False
290000.0,40000.0,0.44153766790258175,False
295000.0,40000.0,0.43972921968230816,False
300000.0,40000.0,0.4379615798550855,False
60000.0,45000.0,0.6150396410068606,True
65000.0,45000.0,0.6074921390078709,True
70000.0,45000.0,0.6041286792698636,True
75000.0,45000.0,0.6021495189077768,True
80000.0,45000.0,0.5999137347857731,True
85000.0,45000.0,0.5966606304768408,True
90000.0,45000.0,0.5908706623347353,True
95000.0,45000.0,0.5852192829974825,True
100000.0,45000.0,0.5797282261851833,True
105000.0,45000.0,0.5744103219032952,True
110000.0,45000.0,0.5692721270084388,True
115000.0,45000.0,0.564315789317602,True
120000.0,45000.0,0.5595403778946312,True
125000.0,45000.0,0.5553345324841393,True
130000.0,45000.0,0.5514807838777988,True
135000.0,45000.0,0.5477490696846345,True
140000.0,45000.0,0.5441382142625832,True
145000.0,45000.0,0.5391312106828917,True
150000.0,45000.0,0.5339585322381566,True
155000.0,45000.0,0.528976381350185,True
160000.0,45000.0,0.5241765634977702,True
165000.0,45000.0,0.5195510380005129,True
170000.0,45000.0,0.5150919830298097,True
175000.0,45000.0,0.5107918389625459,True
180000.0,45000.0,0.5066433356872726,True
185000.0,45000.0,0.5025184507996172,True
190000.0,45000.0,0.497487075384613,False
195000.0,45000.0,0.49266416762306753,False
200000.0,45000.0,0.48803709874729606,False
205000.0,45000.0,0.4837468624857662,False
210000.0,45000.0,0.4796202857834625,False
215000.0,45000.0,0.47564826970383434,False
220000.0,45000.0,0.47225144397041385,False
225000.0,45000.0,0.4693018205954276,False
230000.0,45000.0,0.46643402878165435,False
235000.0,45000.0,0.46364511204298847,False
240000.0,45000.0,0.46093221658040284,False
245000.0,45000.0,0.4582925918653468,False
250000.0,45000.0,0.45572359016289815,False
255000.0,45000.0,0.4532226652400134,False
260000.0,45000.0,0.45078737045544115,False
265000.0,45000.0,0.44841535638867636,False
270000.0,45000.0,0.446104368133789,False
275000.0,45000.0,0.4440437593415667,False
280000.0,45000.0,0.4421953340922123,False
285000.0,45000.0,0.4403879508284931,False
290000.0,45000.0,0.4386204347323039,False
295000.0,45000.0,0.43689164152321974,False
300000.0,45000.0,0.435200458010799,False
60000.0,50000.0,0.6033399660716465,True
65000.0,50000.0,0.5967727669685258,True
70000.0,50000.0,0.594212265874936,True
75000.0,50000.0,0.5929308020229785,True
80000.0,50000.0,0.5904827952014181,True
85000.0,50000.0,0.5853931459421379,True
90000.0,50000.0,0.5803336967412155,True
95000.0,50000.0,0.5753469484011738,True
100000.0,50000.0,0.5704618261287496,True
105000.0,50000.0,0.5656975038134654,True
110000.0,50000.0,0.5610661232465369,True
115000.0,50000.0,0.5565747457840464,True
120000.0,50000.0,0.5522267644404272,True
125000.0,50000.0,0.5484097431339675,True
130000.0,50000.0,0.5449127657535296,True
135000.0,50000.0,0.5415115306317251,True
140000.0,50000.0,0.5366992522139362,True
145000.0,50000.0,0.5317027363556222,True
150000.0,50000.0,0.5268790605126784,True
155000.0,50000.0,0.5222222588626774,True
160000.0,50000.0,0.51772618549945,True
165000.0,50000.0,0.5133846369453956,True
170000.0,50000.0,0.5091914418908383,True
175000.0,50000.0,0.5051405261412797,True
180000.0,50000.0,0.5012259587900196,True
185000.0,50000.0,0.49732217869943784,False
190000.0,50000.0,0.4925092895990875,False
195000.0,50000.0,0.48789138742468674,False
200000.0,50000.0,0.4834569286714277,False
205000.0,50000.0,0.479346497055819,False
210000.0,50000.0,0.4753893622043639,False
215000.0,50000.0,0.4714811832030265,False
220000.0,50000.0,0.46787856306898135,False
225000.0,50000.0,0.46507746076828466,False
230000.0,50000.0,0.4623508233376787,False
235000.0,50000.0,0.45969616790728146,False
240000.0,50000.0,0.45711107737158707,False
245000.0,50000.0,0.45459320431309613,False
250000.0,50000.0,0.45214027352641845,False
255000.0,50000.0,0.44975008342580813,False
260000.0,50000.0,0.44742050656588755,False
265000.0,50000.0,0.44514948946224087,False
270000.0,50000.0,0.4429350518635911,False
275000.0,50000.0,0.4409654749114942,False
280000.0,50000.0,0.4392031395997577,False
285000.0,50000.0,0.4374783138227756,False
290000.0,50000.0,0.4357900115763776,False
295000.0,50000.0,0.4341372650882021,False
300000.0,50000.0,0.43251912630673256,False
60000.0,55000.0,0.5926938603078912,True
65000.0,55000.0,0.5869770965043347,True
70000.0,55000.0,0.5851150657999253,True
75000.0,55000.0,0.5836096375832632,True
80000.0,55000.0,0.5793319744113435,True
85000.0,55000.0,0.5749538606117381,True
90000.0,55000.0,0.5705437793577743,True
95000.0,55000.0,0.5661505788708923,True
100000.0,55000.0,0.561808899938665,True
105000.0,55000.0,0.5575430279061586,True
110000.0,55000.0,0.5533696572474078,True
115000.0,55000.0,0.549299895371369,True
120000.0,55000.0,0.5453407276579294,True
125000.0,55000.0,0.5418783004477835,True
130000.0,55000.0,0.5387075253525311,True
135000.0,55000.0,0.5341084782092201,True
140000.0,55000.0,0.529304286874263,True
145000.0,55000.0,0.52465317302603,True
150000.0,55000.0,0.5201517172204839,True
155000.0,55000.0,0.5157959300197338,True
160000.0,55000.0,0.5115814430910582,True
165000.0,55000.0,0.5075036539943624,True
170000.0,55000.0,0.5035578355867883,True
175000.0,55000.0,0.49973921831104495,False
180000.0,55000.0,0.4960430516521784,False
185000.0,55000.0,0.49234604284697825,False
190000.0,55000.0,0.4877380098117667,False
195000.0,55000.0,0.48331258483223566,False
200000.0,55000.0,0.4790592006017044,False
205000.0,55000.0,0.4751179886772819,False
210000.0,55000.0,0.47122454395515034,False
215000.0,55000.0,0.4671154346431502,False
220000.0,55000.0,0.4636670145109503,False
225000.0,55000.0,0.461006130842722,False
230000.0,55000.0,0.45841290287861564,False
235000.0,55000.0,0.4558852755718214,False
240000.0,55000.0,0.4534212271325913,False
245000.0,55000.0,0.4510187758064141,False
250000.0,55000.0,0.448675984973051,False
255000.0,55000.0,0.4463909668789532,False
260000.0,55000.0,0.44416188525913636,False
265000.0,55000.0,0.4419869570586131,False
270000.0,55000.0,0.4398644534259352,False
275000.0,55000.0,0.4379816024830311,False
280000.0,55000.0,0.43630133062518744,False
285000.0,55000.0,0.4346552607873753,False
290000.0,55000.0,0.4330425803499135,False
295000.0,55000.0,0.43146248386642133,False
300000.0,55000.0,0.4299141753740726,False
60000.0,60000.0,0.5829651426735095,True
65000.0,60000.0,0.5779906645623983,True
70000.0,60000.0,0.5759167685857005,True
75000.0,60000.0,0.572588611174134,True
80000.0,60000.0,0.5690007776355931,True
85000.0,60000.0,0.5652546981707376,True
90000.0,60000.0,0.5614241838810656,True
95000.0,60000.0,0.5575630468975648,True
100000.0,60000.0,0.5537104778876971,True
105000.0,60000.0,0.5498948902276595,True
110000.0,60000.0,0.5461366997517916,True
115000.0,60000.0,0.5424503554219929,True
120000.0,60000.0,0.5388458362893245,True
125000.0,60000.0,0.5357076152781798,True
130000.0,60000.0,0.5313428067362345,True
135000.0,60000.0,0.5267492101131871,True
